Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
영업수익,17608511.0,17304973,16748585.0
영업비용,15855307.0,15692903,15361423.0
종업원급여,2488245.0,2449813,2300754.0
지급수수료,5549899.0,5518786,5426114.0
감가상각비,3614766.0,3621325,3672555.0
망접속정산비용,678459.0,715285,749599.0
전용회선료및전파사용료,275477.0,268426,310141.0
광고선전비,235769.0,252402,233401.0
지급임차료,142356.0,143747,140418.0
상품및기타구입비용,1266357.0,1268124,1167417.0
기타영업비용,1603979.0,1454995,1361024.0
영업이익,1753204.0,1612070,1387162.0
금융수익,248376.0,179838,155133.0
금융비용,527401.0,456327,315604.0
관계기업및공동기업투자관련손익,10928.0,"(81,707)",446300.0
기타영업외수익,50366.0,55898,114553.0
기타영업외비용,47294.0,73620,69353.0
법인세차감전순이익,1488179.0,1236152,1718191.0
법인세비용(수익),342242.0,288321,446796.0
계속영업이익,1145937.0,947831,1271395.0
중단영업이익,0.0,0,1147594.0
당기연결순이익,1145937.0,947831,2418989.0
당기순이익의 귀속,,,
지배기업의 소유주에게 귀속되는 당기순이익,1093611.0,912400,2407523.0
비지배지분에 귀속되는 당기순이익,52326.0,35431,11466.0
주당이익,,,
기본주당이익 (단위 : 원),4954.0,4118,7191.0
기본주당이익-계속 (단위 : 원),4954.0,4118,3614.0
희석주당이익 (단위 : 원),4950.0,4116,7187.0
희석주당이익-계속 (단위 : 원),4950.0,4116,3613.0
