Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
영업손익,2623,27020,22602
(1)순이자손익,145479,153323,128430
이자수익,339867,254970,184053
이자비용,"(194,388)","(101,647)","(55,623)"
(2)순수수료손익,10517,11120,11790
수수료수익,19257,19607,19886
수수료비용,"(8,740)","(8,487)","(8,096)"
(3)배당수익,16,16,24
(4)당기손익-공정가치측정금융상품관련손익,663,303,54
(5)외환거래손익,1500,568,498
(6)기타포괄손익-공정가치측정금융자산처분손익,235,1,24
(7)상각후원가측정금융자산처분손익,9560,97,0
(8)신용손실충당금전입,"(49,799)","(23,401)","(11,545)"
(9)일반관리비,"(95,733)","(95,366)","(89,522)"
(10)기타영업손익,"(19,815)","(19,641)","(17,151)"
영업외손익,2876,(56),253
법인세비용차감전순이익,5499,26964,22855
법인세비용(수익),398,4144,4409
당기순이익(손실),5101,22820,18446
대손준비금 반영후 조정이익(손실),13230,21062,23
당기순이익(손실)의 귀속,,,
지배기업소유주지분,5101,22820,18446
비지배지분,0,0,0
기타포괄손익,15088,"(11,162)","(6,706)"
후속적으로당기손익으로재분류되지않는항목,,,
확정급여제도의재측정요소,"(1,948)",3232,2270
기타포괄손익-공정가치측정지분증권평가손익,(680),"(1,087)","(1,122)"
후속적으로당기손익으로재분류되는항목,,,
기타포괄손익-공정가치측정채무증권평가손익,17716,"(13,307)","(7,854)"
총포괄손익,20189,11658,11740
포괄손익의 귀속,,,
지배기업소유주지분,20189,11658,11740
비지배지분,0,0,0
주당이익,,,
기본주당순이익 (단위 : 원),66,636,514
희석주당순이익 (단위 : 원),66,636,514
