Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
매출액,8590316,8207614,7527739
매출원가,8006056,7620589,7030744
매출총이익,584260,587025,496995
판매비,124198,157426,142818
관리비,230846,217484,251452
영업이익(손실),229216,212115,102725
기타영업외수익,157657,200727,149063
기타영업외비용,254246,304951,125922
금융수익,47627,38163,23233
금융비용,76139,63686,56502
지분법 적용대상인 관계기업과 공동기업의 당기순손익에 대한 지분,2631,3695,8123
법인세비용차감전순이익(손실),106746,86063,100720
법인세비용,54198,42581,44649
당기순이익(손실),52548,43482,56071
기타포괄손익,(793),9136,131926
후속적으로 당기손익으로 재분류 될 수 있는 항목,15161,"(14,133)",117642
해외사업환산손익,15223,"(11,917)",118650
지분법자본변동,(146),(103),1713
당기손익으로 재분류되는 항목의 법인세,84,"(2,113)","(2,721)"
후속적으로 당기손익으로 재분류 되지 않는 항목,"(15,954)",23269,14284
확정급여제도의 재측정손익(세전기타포괄손익),"(21,586)",27784,18700
지분법자본변동,(431),1254,97
기타포괄손익-공정가치 측정 금융자산평가손익,(776),1078,46
기타포괄손익-공정가치 측정 금융자산처분손익,2138,0,0
당기손익으로 재분류되지 않는 항목의 법인세,4701,"(6,847)","(4,559)"
총포괄손익,51755,52618,187997
당기순이익(손실)의 귀속,,,
지배기업소유주지분,91461,65416,62320
비지배지분,"(38,913)","(21,934)","(6,249)"
포괄손익의 귀속,,,
지배기업소유주지분,91217,83306,150500
비지배지분,"(39,462)","(30,688)",37497
주당이익,,,
기본 및 희석주당이익 (단위 : 원),3432,2463,2346
