Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
당기순이익(손실),15487100,55654077,39907450
기타포괄손익(*4),3350311,4005664,10002299
후속적으로 당기손익으로 재분류되지 않는 포괄손익,665943,"(822,137)",2508106
"기타포괄손익-공정가치금융자산평가손익 (주6,20)",1481091,"(1,969,498)",2980896
"관계기업 및 공동기업의 기타포괄손익에 대한 지분 (주9,20)",13150,"(6,318)",51816
"순확정급여부채(자산) 재측정요소 (주14,20)","(828,298)",1153679,"(524,606)"
당기손익으로 재분류되는 세후기타포괄손익,2684368,4827801,7494193
"관계기업 및 공동기업의 기타포괄손익에 대한 지분 (주9,20)",61962,"(44,192)",160163
해외사업장환산외환차이 (주20),2621479,4884886,7283620
현금흐름위험회피파생상품평가손익 (주20),927,"(12,893)",50410
총포괄손익(*3),18837411,59659741,49909749
포괄손익의 귀속,,,
지배기업 소유주지분,17845661,58745107,49037912
비지배지분,991750,914634,871837
