Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
Ⅰ.매출액,13391973891,25873130375,27428788078
Ⅱ.매출원가,10002937819,16261914823,20542769357
Ⅲ.매출총이익,3389036072,9611215552,6886018721
Ⅳ.판매비와관리비,7781374406,9188857974,13442120364
Ⅴ.영업이익(손실),"(4,392,338,334)",422357578,"(6,556,101,643)"
Ⅵ.금융수익,493426051,62049906,476117775
Ⅶ.금융원가,96871174,669010988,1727515175
Ⅷ.기타이익,532294455,2341554823,967929305
Ⅸ.기타손실,1347424265,863183975,2982314681
Ⅹ.관계기업으로부터의 기타수익(비용),0,0,5796702
XI.법인세비용차감전순이익(손실),"(4,810,913,267)",1293767344,"(9,816,087,717)"
XⅡ.법인세비용(수익),0,0,0
XⅢ.계속영업이익(손실),"(4,810,913,267)",1293767344,"(9,816,087,717)"
XIV.중단영업이익(손실),"(223,665,741)","(151,977,338)","(187,913,311)"
XV.당기순이익(손실),"(5,034,579,008)",1141790006,"(10,004,001,028)"
XVI.당기순손실,,,
(1)지배기업 순손실,"(5,090,040,379)",1179196043,"(10,113,027,744)"
1.계속영업이익(손실),"(4,866,374,638)",1331173381,"(9,925,114,433)"
2.중단영업이익(손실),"(223,665,741)","(151,977,338)","(187,913,311)"
(2)비지배지분 순이익,55461371,"(37,406,037)",109026716
1.계속영업이익(손실),55461371,"(37,406,037)",109026716
2.중단영업이익(손실),0,0,0
XVII.기타포괄손익,"(317,774,491)",558324836,"(54,139,240)"
(1)당기손익으로 재분류될 수 있는 항목,0,0,"(3,698,089)"
1.지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익),0,0,"(3,698,089)"
(2)당기손익으로 재분류되지 않는항목,"(317,774,491)",558324836,"(50,441,151)"
1.확정급여제도의 재측정손익(세후기타포괄손익),"(317,774,491)",548715189,"(1,301,890)"
"2.세후기타포괄손익, 지분상품에 대한 투자자산",0,9609647,"(49,139,261)"
XVIII.총포괄손익,"(5,352,353,499)",1700114842,"(10,058,140,268)"
XIX.포괄손익의 귀속,,,
(1)지배기업지분 포괄손익,"(5,407,814,870)",1737520879,"(9,979,253,673)"
(2)비지배지분 포괄손익,55461371,"(37,406,037)","(78,886,595)"
XX.주당이익,,,
(1)기본주당이익(손실) (단위 : 원),(143),42,(341)
1.계속영업기본주당이익(손실) (단위 : 원),(137),47,(338)
2.중단영업기본주당이익(손실) (단위 : 원),(6),(5),(3)
(2)희석주당이익(손실) (단위 : 원),(143),42,(341)
1.계속영업희석주당이익(손실) (단위 : 원),(137),47,(338)
2.중단영업희석주당이익(손실) (단위 : 원),(6),(5),(3)
