Accounts,2023.03.01~2023.12.31
매출액,434495384619
매출원가,113907354891
매출총이익,320588029728
판매비와관리비,310767436911
영업이익,9820592817
영업외손익,"(48,365,401,742)"
기타수익,3142000357
기타비용,"(33,748,509,714)"
금융수익,3004304103
금융비용,"(20,763,196,488)"
법인세차감전순손실,"(38,544,808,925)"
법인세비용(수익),8442424989
당기순이익(손실),"(30,102,383,936)"
기타포괄손익,"(16,728,844,520)"
후속적으로 당기손익으로 재분류되는 항목,
후속적으로 당기손익으로 재분류되지 않는 항목,"(16,728,844,520)"
기타포괄손익-공정가치측 평가손익,"(15,377,089,477)"
확정급여제도의 재측정손익(세후기타포괄손익),"(1,351,755,043)"
총포괄손익,"(46,831,228,456)"
당기순이익(손실)의 귀속,
지배기업 소유주지분,"(30,102,383,673)"
비지배지분,(263)
포괄손익의 귀속,
지배기업 소유주지분,"(46,831,222,617)"
비지배지분,"(5,839)"
지배기업 지분에 대한 주당순손익 (단위 : 원),
보통주 기본 및 희석주당순손익 (단위 : 원),(153)
우선주 기본 및 희석주당순손익 (단위 : 원),(153)
