Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
당기순이익(손실),710344635,877756345,652075833
기타포괄손익,"(42,180,238)",36694418,70261351
후속적으로 당기손익으로 재분류되지 않는 항목,"(13,497,007)",4777160,"(12,175,805)"
확정급여제도의재측정요소,"(12,716,844)",9336697,"(9,886,338)"
기타포괄손익공정가치측정금융자산 평가손익,669885,"(5,320,499)","(2,289,467)"
관계기업및공동기업투자자본변동,"(2,191,756)",760962,
기타포괄손익공정가치측정금융자산 처분손익,741708,,
후속적으로 당기손익으로 재분류될 수 있는 항목,"(28,683,231)",31917258,82437156
관계기업및공동기업투자자본변동,"(486,889)","(25,509)",75580
해외사업환산손익,"(28,196,342)",31942767,82361576
총포괄손익,668164397,914450763,722337184
총포괄손익의 귀속,,,
지배회사의 소유주지분,672224935,916957803,714635755
비지배주주지분,"(4,060,538)","(2,507,040)",7701429
