Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
당기순이익(손실),"(17,983,192,395)","(86,375,470,931)","(2,443,721,858)"
기타포괄손익,,"(242,281,321)","(3,529,413,855)"
당기손익으로 재분류되지 않는항목(세후기타포괄손익),,,
확정급여제도의 재측정손익(세후기타포괄손익),"(1,161,565,525)",808410545,"(368,554,968)"
기타포괄손익-공정가치금융자산 평가손익,32005017200,"(2,368,881,973)","(2,784,926,077)"
자산재평가손익(세후기타포괄손익),490226829,,
당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),,,
관계기업의 기타포괄손익에 대한 지분,"(1,153,003,214)",1282807557,"(168,244,065)"
종속기업의 기타포괄손익에 대한 지분,2602141,,"(374,897,012)"
해외사업장환산외환차이(세후기타포괄손익),12200085036,35382550,167208267
총포괄손익,,"(86,617,752,252)","(5,973,135,713)"
포괄손익의 귀속,,,
"포괄손익, 지배기업의 소유주에게 귀속되는 지분",12923959900,"(86,605,174,074)","(5,973,135,713)"
"포괄손익, 비지배지분","(723,874,864)","(12,578,178)",
