Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
수익(매출액),25978494,28582513,20165049
매출원가,"(19,264,794)","(20,614,776)","(15,229,461)"
매출총이익,6713700,7967737,4935588
판매비와관리비,"(2,991,898)","(2,847,556)","(2,284,242)"
영업이익(손실),3721802,5120181,2651346
기타이익,333472,360526,827486
기타손실,"(278,981)","(401,086)","(442,717)"
금융수익,217336,230566,184441
금융원가,"(531,222)","(550,246)","(367,589)"
법인세비용차감전순이익(손실),3462407,4759941,2852967
법인세비용,"(1,822,133)","(2,174,470)","(1,227,116)"
계속영업이익(손실),1640274,2585471,1625851
중단영업이익(손실),"(61,563)","(102,767)","(11,169)"
당기순이익(손실),1578711,2482704,1614682
당기순이익(손실)의 귀속,,,
지배기업소유주지분순이익,1300651,2142967,1448999
지배기업의 소유주에게 귀속될 계속영업손익,1337076,2203949,1455627
지배기업의 소유주에게 귀속될 중단영업손익,"(36,425)","(60,982)","(6,628)"
비지배지분순이익,278060,339737,165683
주당이익,,,
기본주당이익(손실) 합계 (단위 : 원),13737.0,22634.0,15304.0
계속영업보통주주당이익 (단위 : 원),14122,23278,15374
중단영업보통주주당이익 (단위 : 원),(385.0),(644),(70)
우선주기본주당순이익(손실) (단위 : 원),13787.0,22684.0,15354.0
계속영업우선주주당이익 (단위 : 원),14172,23328,15424
중단영업우선주주당이익 (단위 : 원),(385),(644),(70)
