Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
유동자산,5982341,5978612,5388853
현금및현금성자산,2222015,2331204,1204959
당기손익- 공정가치측정금융자산,129316,82051,723465
기타포괄손익- 공정가치측정금융자산,79,142,243
유동파생상품자산,2827,12258,5132
매출채권 및 기타유동채권,2631787,2558032,2372909
기타유동자산,258535,258340,306317
당기법인세자산,11003,7059,2265
유동재고자산,686610,712544,629020
기타유동금융자산,0,0,0
매각예정자산,40169,16982,144543
비유동자산,28466084,27943630,25802434
당기손익- 공정가치측정금융자산,657558,642398,696541
기타포괄손익- 공정가치측정금융자산,485272,469262,385259
비유동파생상품자산,12205,5948,377
공동기업및관계기업투자자산,8862150,8690286,7037836
투자부동산,1442429,1403106,1471794
유형자산,11342219,10866722,11228467
사용권자산,1997376,1874976,1515272
무형자산 및 영업권,1981460,2029233,1903021
장기매출채권 및 기타비유동채권,1395814,1648339,1383645
기타비유동자산,133191,117716,97143
기타비유동금융자산,0,0,0
이연법인세자산,69191,88915,83079
순확정급여자산,87219,106729,0
자산총계,34448425,33922242,31191287
부채,,,
유동부채,6573930,6527808,5501784
매입채무 및 기타유동채무,2911645,2808341,2353654
유동성차입금및사채,2913781,2881742,2419910
유동파생상품부채,23452,18030,15604
기타유동금융부채,12807,4418,8285
기타 유동부채,410225,329684,264149
당기법인세부채,216744,392484,243727
유동충당부채,85276,93109,113240
매각예정부채,0,0,83215
비유동부채,10249300,10906624,11486559
장기매입채무 및 기타비유동채무,2405800,2415261,1920457
비유동성차입금및사채,5915164,6662017,7836464
비유동파생상품부채,16178,26964,26871
기타비유동금융부채,116908,118543,138224
기타 비유동 부채,350592,328419,315955
이연법인세부채,1327778,1232959,1137579
순확정급여부채,5732,4360,"(22,056)"
비유동충당부채,111148,118101,133065
부채총계,16823230,17434432,16988343
자본,,,
지배기업의 소유주에게 귀속되는 자본,13450004,12438586,10288563
자본금,473501,473501,473501
자본잉여금,1696001,1692715,1693177
기타자본구성요소,"(2,966,854)","(2,965,224)","(2,983,678)"
기타포괄손익누계액,100074,113952,"(25,734)"
이익잉여금(결손금),14147282,13123642,11131297
비지배지분,4175191,4049224,3914381
자본총계,17625195,16487810,14202944
자본과부채총계,34448425,33922242,31191287
