Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
당기순이익(손실),705892351,498514677,337191440
기타포괄손익,69021876,"(33,495,874)","(92,394,728)"
후속적으로 당기손익으로 재분류되지 않는 포괄손익,,,
확정급여제도의 재측정손익(세후기타포괄손익),"(2,819,374)",84196003,46483477
유형자산 재평가잉여금,3724302,7951,4796885
기타포괄손익-공정가치측정지분상품평가손익,,542453,
관계기업 이익잉여금 중 지분해당액,,,"(16,476)"
관계기업 기타포괄손익 중 지분해댱액,,,642941
관계기업 기타포괄손익의 이익잉여금 대체,,"(851,146)",
후속적으로 당기손익으로 재분류되는 포괄손익,,,
해외사업환산손익,68197666,"(117,881,445)","(144,132,540)"
현금흐름위험회피 파생상품평가손익,"(80,718)",490310,"(169,015)"
당기총포괄이익(손실),774914227,465018803,244796712
포괄손익의 귀속,,,
지배기업 소유주지분,774914227,465018803,244796712
