Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
매출액,33745470,25598609,17851906
매출원가,28802437,21308077,13953123
매출총이익,4943033,4290532,3898783
기타영업수익,676874,0,0
판매비와 관리비,3456673,3076813,3130313
영업이익(손실),2163234,1213719,768470
금융수익,984984,385537,339996
금융비용,857201,519021,295258
지분법손익,"(32,450)","(36,641)","(11,556)"
기타영업외수익,1125846,1349485,465006
기타영업외비용,1340953,1397765,489474
법인세비용차감전순이익(손실),2043460,995314,777184
법인세비용,405475,215488,76523
계속영업이익,1637985,779826,700661
중단영업이익,0,0,229207
당기순이익,1637985,779826,929868
당기순이익의 귀속,,,
지배기업의 소유주지분,1237180,767236,792519
계속영업이익,1237180,767236,607343
중단영업이익,0,0,185176
비지배지분,400805,12590,137349
계속영업이익,400805,12590,93318
중단영업이익,0,0,44031
지배기업의 소유주지분에 대한 주당이익,,,
보통주 기본 및 희석주당이익(손실) (단위 : 원),5287,3306,3963
보통주 기본 및 희석주당계속영업이익(손실) (단위 : 원),5287,3306,3036
