Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
당기순이익,1637985,779826,929868
기타포괄손익,273143,"(27,449)",508506
당기손익으로 재분류되지 않는 항목,"(132,261)",87141,1826
순확정급여부채의 재측정요소,"(35,273)",68543,"(2,578)"
기타포괄손익-공정가치 측정 금융자산 손익,"(136,381)",54743,5104
기타포괄손익 법인세효과,39393,"(36,145)",(700)
후속적으로 당기손익으로 재분류될 수 있는 항목,405404,"(114,590)",506680
해외사업장환산외환차이,405378,"(96,207)",481282
현금흐름위험회피,"(17,203)",6021,"(18,082)"
공동기업 및 관계기업 기타포괄손익에 대한 지분,4543,14771,4197
기타포괄손익 법인세효과,12686,"(39,175)",39283
당기총포괄손익,1911128,752377,1438374
총포괄손익의 귀속,,,
지배기업의 소유주지분,1468426,706907,1195531
비지배지분,442702,45470,242842
