Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31
수익(매출액),545091772616,505290773062
용역의 제공으로 인한 수익(매출액),432145530440,400128756341
건설계약으로 인한 수익(매출액),112946242176,105162016721
매출원가,417207250840,394303572546
용역의 제공으로 인한 수익(매출액)에 대한 매출원가,307617183668,292581334029
건설계약으로 인한 수익(매출액)에 대한 매출원가,109590067172,101722238517
매출총이익,127884521776,110987200516
판매비와관리비,99322123442,97047174954
영업이익(손실),28562398334,13940025562
금융수익,6509139420,3187117754
금융원가,146666458,418781646
기타수익,11017912368,12745288004
기타비용,2206521330,4272718733
기타이익(손실),139319143,103856572
지분법적용투자자산평가이익(손실),197536086,450796999
법인세비용차감전순이익(손실),44073117563,25735584512
법인세비용(수익),11418669660,7781610210
당기순이익(손실),32654447903,17953974302
기타포괄손익,"(17,993,537,550)",21063266307
당기손익으로 재분류되지 않는항목(세후기타포괄손익),"(18,012,000,953)",21073226628
확정급여제도의 재측정손익(세후기타포괄손익),"(17,993,739,822)",21078246145
관계기업의 재측정요소에 대한 지분,"(2,659,869)",
공정가치측정금융자산 평가손익,"(15,601,262)","(5,019,517)"
당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),18463403,"(9,960,321)"
공동기업의 기타포괄손익에 대한 지분,18463403,"(9,960,321)"
총포괄손익,14660910353,39017240609
주당이익,,
기본주당이익(손실) (단위 : 원),858,472
계속영업기본주당이익(손실) (단위 : 원),858,472
희석주당이익(손실) (단위 : 원),858,472
계속영업희석주당이익(손실) (단위 : 원),858,472
