Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
유동자산,23053899.0,22317004.0,17597982
현금및현금성자산,4909149.0,6673028.0,5496492
당기손익-공정가치측정금융자산,5669.0,5946.0,0
기타포괄손익-공정가치측정금융자산,363.0,500.0,44
상각후원가측정금융자산,23.0,68.0,0
기타금융자산,627823.0,861747.0,588450
매출채권및기타채권,5420413.0,4962880.0,3748904
기타유동자산,4277211.0,3097351.0,2428371
재고자산,7749659.0,6557534.0,5166955
당기법인세자산,62122.0,33803.0,32496
매각예정자산(처분자산집단의 자산 포함),1467.0,124147.0,136270
비유동자산,36591190.0,29535220.0,22554488
당기손익-공정가치측정금융자산,968865.0,700441.0,368075
기타포괄손익-공정가치측정금융자산,332577.0,472345.0,77129
기타금융자산,361194.0,442756.0,329529
매출채권및기타채권,989602.0,396086.0,487135
관계기업및공동기업투자,6634602.0,3967508.0,3766911
투자부동산,1443694.0,1970935.0,1041181
유형자산,19647350.0,15852298.0,11324966
사용권자산,706910.0,610870.0,617239
무형자산,4239031.0,4101230.0,3706148
기타비유동자산,703990.0,481734.0,226133
이연법인세자산,563375.0,539017.0,610042
금융업자산,150093060.0,145124702.0,151450816
현금및현금성자산,3619590.0,2923167.0,2105569
보험계약자산,723341.0,833743.0,859731
당기손익-공정가치측정금융자산,47914274.0,45276907.0,46266513
기타포괄손익-공정가치측정금융자산,49993915.0,36438736.0,45723161
상각후원가측정금융자산,37266154.0,48721939.0,47916610
관계기업및공동기업투자,595248.0,534736.0,352768
투자부동산,1524762.0,1740618.0,1870896
유형자산,3346918.0,3324717.0,2814775
사용권자산,287350.0,242672.0,105067
무형자산,742847.0,423543.0,418282
파생상품자산,854966.0,1007318.0,255011
당기법인세자산,310321.0,236492.0,20777
이연법인세자산,58076.0,1113900.0,287706
기타금융자산,2549206.0,2162606.0,2379501
기타자산,306092.0,143608.0,74449
자산총계,209738149.0,196976926.0,191603286
부채,,,
유동부채,26074591.0,21094631.0,16468961
매입채무및기타채무,4977220.0,4149014.0,4224696
차입금및사채,9671863.0,8305473.0,6323696
기타금융부채,1932679.0,1512974.0,1072249
충당부채,336334.0,282237.0,296028
기타유동부채,8950206.0,6209450.0,4320521
당기법인세부채,206289.0,635483.0,231771
비유동부채,16726533.0,14500841.0,14368998
매입채무및기타채무,357333.0,415370.0,410602
차입금및사채,9815600.0,8067264.0,8257694
기타금융부채,1925762.0,1640192.0,1228168
순확정급여부채,1692935.0,1546484.0,1690833
충당부채,392867.0,336097.0,345807
기타비유동부채,1201573.0,1198512.0,1142964
이연법인세부채,1340463.0,1296922.0,1292930
금융업부채,133738286.0,128205546.0,136084373
예수부채,2236804.0,1986810.0,2265319
보험계약부채,111572538.0,105388267.0,118668342
계약자지분조정,156475.0,133520.0,15091
당기법인세부채,7047.0,129464.0,19247
이연법인세부채,1912628.0,2960530.0,1521872
파생상품부채,1392904.0,2306919.0,1006887
순확정급여부채,247524.0,212841.0,249896
충당부채,173070.0,170226.0,137147
기타금융부채,15807732.0,14800191.0,12118515
기타부채,231564.0,116778.0,82057
부채총계,176539410.0,163801018.0,166922332
자본,,,
지배기업의 소유주에게 귀속되는 자본,10791035.0,10813167.0,6579772
자본금,489550.0,489550.0,489550
자본잉여금,1354755.0,1338136.0,477757
자본조정,81298.0,43806.0,11503
기타포괄손익누계액,1266309.0,1168146.0,"(966,332)"
이익잉여금,7599123.0,7773529.0,6567294
비지배지분,22407704.0,22362741.0,18101182
자본총계,33198739.0,33175908.0,24680954
자본과부채총계,209738149.0,196976926.0,191603286
