Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
I.순이자손익,1293255,1228656,1011167
이자수익,3159307,2279801,1436984
상각후원가측정 및 기타포괄손익-공정가치 측정 금융상품 이자수익,3084128,2241162,1410313
당기손익-공정가치 측정 금융상품 이자수익,75179,38639,26671
이자비용,"(1,866,052)","(1,051,145)","(425,817)"
II.순수수료손익,224827,188420,233832
수수료수익,320260,265378,307296
수수료비용,"(95,433)","(76,958)","(73,464)"
III.당기손익-공정가치측정금융상품관련순손익,561411,"(620,029)",130256
IV.당기손익-공정가치측정지정금융상품 관련순손익,"(166,047)",222824,53261
V.위험회피파생상품 관련순손익,"(11,222)","(5,851)",29279
VI.공정가치위험회피대상 관련순손익,10832,7137,"(28,980)"
VII.금융상품 관련기타순손익,1754,"(59,853)","(8,421)"
VIII.환율변동손익,"(223,661)",620742,1280
IX.판매비와관리비,"(974,172)","(862,321)","(1,172,344)"
X.상각후원가 측정 금융자산 제거 손익,1761,1301,6314
XI.기타영업손익,"(91,046)","(105,959)","(96,748)"
XII.신용손실충당금 순전입액,"(138,653)","(114,385)","(11,367)"
XIII.기타충당금 및 충당부채 순전입액,"(17,885)","(11,039)","(1,586)"
XIV.영업이익(손실),471154,489643,145943
XV.영업외손익,24570,27962,31286
영업외수익,28292,32371,38987
영업외비용,"(3,722)","(4,409)","(7,701)"
XVI.법인세차감전순이익,495724,517605,177229
XVII.법인세비용,"(145,151)","(127,514)","(49,344)"
XVIII.당기순이익(손실),350573,390091,127885
대손준비금 반영후 조정이익(손실),433082,461235,83394
XIX.기타포괄손익,29585,195,"(30,563)"
당기손익으로 재분류되는 세후기타포괄손익의 구성요소,,,
기타포괄손익-공정가치측정금융자산관련손익,44868,"(19,375)","(19,028)"
현금흐름위험회피파생상품평가손익,0,0,101
당기손익으로 재분류 되지않는 세후기타포괄손익 구성요소,,,
당기손익-공정가치측정지정금융부채의 자기신용위험조정,(235),(214),518
확정급여제도의재측정요소,"(15,048)",19784,"(12,154)"
XX.총포괄손익,380158,390286,97322
XXI.주당이익(손실),,,
보통주기본주당이익(손실) (단위 : 원),1267,1439,470
